*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-26 10:29:14:915045" "withmeness: 0.680085552387"
"2016-01-26 10:29:15:916216" "withmeness: 0.680085552387"
"2016-01-26 10:29:16:917494" "withmeness: 0.680085552387"
"2016-01-26 10:29:17:918703" "withmeness: 0.680085552387"
"2016-01-26 10:29:18:919747" "withmeness: 0.680085552387"
"2016-01-26 10:29:19:920986" "withmeness: 0.612076997148"
"2016-01-26 10:29:20:921764" "withmeness: 0.550869297434"
"2016-01-26 10:29:21:922983" "withmeness: 0.550869297434"
"2016-01-26 10:29:22:950304" "withmeness: 0.550869297434"
"2016-01-26 10:29:23:948496" "withmeness: 0.550869297434"
"2016-01-26 10:29:24:949705" "withmeness: 0.59578236769"
"2016-01-26 10:29:25:950785" "withmeness: 0.636204130921"
"2016-01-26 10:29:26:951748" "withmeness: 0.672583717829"
"2016-01-26 10:29:27:952996" "withmeness: 0.705325346046"
"2016-01-26 10:29:28:954248" "withmeness: 0.705325346046"
"2016-01-26 10:29:29:955564" "withmeness: 0.705325346046"
"2016-01-26 10:29:30:956858" "withmeness: 0.705325346046"
"2016-01-26 10:29:31:958133" "withmeness: 0.705325346046"
"2016-01-26 10:29:32:959368" "withmeness: 0.705325346046"
"2016-01-26 10:29:33:960600" "withmeness: 0.705325346046"
"2016-01-26 10:29:34:961805" "withmeness: 0.705325346046"
"2016-01-26 10:29:35:962456" "withmeness: 0.705325346046"
"2016-01-26 10:29:36:988635" "withmeness: 0.705325346046"
"2016-01-26 10:29:37:989547" "withmeness: 0.705325346046"
"2016-01-26 10:29:38:990095" "withmeness: 0.705325346046"
"2016-01-26 10:29:39:991590" "withmeness: 0.705325346046"
"2016-01-26 10:29:40:992605" "withmeness: 0.705325346046"
"2016-01-26 10:29:41:993851" "withmeness: 0.705325346046"
"2016-01-26 10:29:42:994511" "withmeness: 0.705325346046"
"2016-01-26 10:29:43:995899" "withmeness: 0.705325346046"
"2016-01-26 10:29:44:996182" "withmeness: 0.705325346046"
"2016-01-26 10:29:45:996905" "withmeness: 0.705325346046"
"2016-01-26 10:29:46:998159" "withmeness: 0.705325346046"
"2016-01-26 10:29:47:999369" "withmeness: 0.705325346046"
"2016-01-26 10:29:48:999806" "withmeness: 0.705325346046"
"2016-01-26 10:29:50:001052" "withmeness: 0.705325346046"
"2016-01-26 10:29:51:002333" "withmeness: 0.705325346046"
